# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
7.0000000000 -10.5434873545 2.1986625167 -8.3448248378 12.0434873545 -2.1065468309 9.9369405236
6.9500000000 -10.5327346202 2.1992809698 -8.3334536504 12.0327346202 -2.1113301300 9.9214044903
6.9000000000 -10.5219042483 2.1998731058 -8.3220311425 12.0219042483 -2.1165701426 9.9053341057
6.8500000000 -10.5109951093 2.2004379871 -8.3105571222 12.0109951093 -2.1214381315 9.8895569778
6.8000000000 -10.5000060491 2.2009746426 -8.2990314065 12.0000060491 -2.1266590007 9.8733470485
6.7500000000 -10.4889358882 2.2014820655 -8.2874538226 11.9889358882 -2.1319125046 9.8570233836
6.7000000000 -10.4777834205 2.2019592124 -8.2758242080 11.9777834205 -2.1371394244 9.8406439960
6.6500000000 -10.4665474129 2.2024050013 -8.2641424116 11.9665474129 -2.1422821917 9.8242652211
6.6000000000 -10.4552266044 2.2028183102 -8.2524082942 11.9552266044 -2.1476818686 9.8075447358
6.5500000000 -10.4438197053 2.2031979754 -8.2406217300 11.9438197053 -2.1531286858 9.7906910195
6.5000000000 -10.4323253962 2.2035427894 -8.2287826068 11.9323253962 -2.1584616515 9.7738637447
6.4500000000 -10.4207423271 2.2038514996 -8.2168908275 11.9207423271 -2.1640776312 9.7566646959
6.4000000000 -10.4090691164 2.2041228057 -8.2049463108 11.9090691164 -2.1694298513 9.7396392651
6.3500000000 -10.3973043502 2.2043553578 -8.1929489924 11.8973043502 -2.1753454273 9.7219589229
6.3000000000 -10.3854465810 2.2045477544 -8.1808988265 11.8854465810 -2.1807906014 9.7046559796
6.2500000000 -10.3734943265 2.2046985400 -8.1687957865 11.8734943265 -2.1865684802 9.6869258463
6.2000000000 -10.3614460689 2.2048062023 -8.1566398666 11.8614460689 -2.1923267961 9.6691192729
6.1500000000 -10.3493002536 2.2048691703 -8.1444310832 11.8493002536 -2.1982779440 9.6510223096
6.1000000000 -10.3370552876 2.2048858111 -8.1321694765 11.8370552876 -2.2042228750 9.6328324127
6.0500000000 -10.3247095389 2.2048544272 -8.1198551117 11.8247095389 -2.2100652871 9.6146442519
6.0000000000 -10.3122613347 2.2047732535 -8.1074880812 11.8122613347 -2.2163600237 9.5959013110
5.9500000000 -10.2997089602 2.2046404543 -8.0950685059 11.7997089602 -2.2223363990 9.5773725612
5.9000000000 -10.2870506572 2.2044541196 -8.0825965376 11.7870506572 -2.2286498163 9.5584008410
5.8500000000 -10.2742846227 2.2042122621 -8.0700723606 11.7742846227 -2.2348493137 9.5394353090
5.8000000000 -10.2614090072 2.2039128130 -8.0574961941 11.7614090072 -2.2413761585 9.5200328487
5.7500000000 -10.2484219131 2.2035536186 -8.0448682945 11.7484219131 -2.2475802876 9.5008416255
5.7000000000 -10.2353213931 2.2031324355 -8.0321889576 11.7353213931 -2.2543322703 9.4809891228
5.6500000000 -10.2221054486 2.2026469270 -8.0194585216 11.7221054486 -2.2608965673 9.4612088813
5.6000000000 -10.2087720275 2.2020946579 -8.0066773696 11.7087720275 -2.2675627789 9.4412092486
5.5500000000 -10.1953190225 2.2014730897 -7.9938459328 11.6953190225 -2.2741562950 9.4211627275
5.5000000000 -10.1817442692 2.2007795759 -7.9809646933 11.6817442692 -2.2807822382 9.4009620310
5.4500000000 -10.1680455439 2.2000113559 -7.9680341880 11.6680455439 -2.2878599479 9.3801855960
5.4000000000 -10.1542205612 2.1991655496 -7.9550550117 11.6542205612 -2.2948806856 9.3593398757
5.3500000000 -10.1402669722 2.1982391510 -7.9420278212 11.6402669722 -2.3018929113 9.3383740610
5.3000000000 -10.1261823617 2.1972290221 -7.9289533396 11.6261823617 -2.3091635006 9.3170188611
5.2500000000 -10.1119642458 2.1961318854 -7.9158323604 11.6119642458 -2.3163756803 9.2955885655
5.2000000000 -10.0976100692 2.1949443172 -7.9026657520 11.5976100692 -2.3237956220 9.2738144472
5.1500000000 -10.0831172029 2.1936627393 -7.8894544636 11.5831172029 -2.3312783655 9.2518388374
5.1000000000 -10.0684829405 2.1922834108 -7.8761995296 11.5684829405 -2.3390752261 9.2294077144
5.0500000000 -10.0537044958 2.1908024198 -7.8629020760 11.5537044958 -2.3465723470 9.2071321488
5.0000000000 -10.0387789995 2.1892156734 -7.8495633262 11.5387789995 -2.3542782362 9.1845007634
4.9500000000 -10.0237034957 2.1875188879 -7.8361846079 11.5237034957 -2.3620527520 9.1616507437
4.9000000000 -10.0084749385 2.1857075785 -7.8227673601 11.5084749385 -2.3702707976 9.1382041410
4.8500000000 -9.9930901883 2.1837770476 -7.8093131407 11.4930901883 -2.3783295637 9.1147606246
4.8000000000 -9.9775460077 2.1817223732 -7.7958236345 11.4775460077 -2.3868606381 9.0906853696
4.7500000000 -9.9618390579 2.1795383955 -7.7823006625 11.4618390579 -2.3950497919 9.0667892661
4.7000000000 -9.9459658939 2.1772197034 -7.7687461906 11.4459658939 -2.4035456782 9.0424202158
4.6500000000 -9.9299229603 2.1747606200 -7.7551623403 11.4299229603 -2.4120308287 9.0178921316
4.6000000000 -9.9137065861 2.1721551868 -7.7415513993 11.4137065861 -2.4209530749 8.9927535112
4.5500000000 -9.8973129803 2.1693971467 -7.7279158336 11.3973129803 -2.4296562948 8.9676566855
4.5000000000 -9.8807382260 2.1664799264 -7.7142582996 11.3807382260 -2.4385918794 8.9421463467
4.4500000000 -9.8639782751 2.1633966170 -7.7005816581 11.3639782751 -2.4475012363 8.9164770389
4.4000000000 -9.8470289423 2.1601399532 -7.6868889891 11.3470289423 -2.4570219108 8.8900070315
4.3500000000 -9.8298858985 2.1567022914 -7.6731836071 11.3298858985 -2.4663964551 8.8634894434
4.3000000000 -9.8125446649 2.1530755861 -7.6594690788 11.3125446649 -2.4760774534 8.8364672115
4.2500000000 -9.7950006053 2.1492513639 -7.6457492414 11.2950006053 -2.4856071694 8.8093934359
4.2000000000 -9.7772489188 2.1452206964 -7.6320282224 11.2772489188 -2.4955027028 8.7817462160
4.1500000000 -9.7592846322 2.1409741707 -7.6183104615 11.2592846322 -2.5054539639 8.7538306684
4.1000000000 -9.7411025914 2.1365018573 -7.6046007341 11.2411025914 -2.5156931626 8.7254094289
4.0500000000 -9.7226974525 2.1317932761 -7.5909041764 11.2226974525 -2.5262367358 8.6964607168
4.0000000000 -9.7040636725 2.1268373594 -7.5772263131 11.2040636725 -2.5365116302 8.6675520424
3.9500000000 -9.6851954992 2.1216224117 -7.5635730876 11.1851954992 -2.5474427434 8.6377527558
3.9000000000 -9.6660869606 2.1161360667 -7.5499508939 11.1660869606 -2.5587380652 8.6073488954
3.8500000000 -9.6467318533 2.1103652406 -7.5363666127 11.1467318533 -2.5697077010 8.5770241523
3.8000000000 -9.6271237310 2.1042960816 -7.5228276493 11.1271237310 -2.5807594128 8.5463643182
3.7500000000 -9.6072558908 2.0979139150 -7.5093419759 11.1072558908 -2.5926053735 8.5146505173
3.7000000000 -9.5871213603 2.0912031835 -7.4959181768 11.0871213603 -2.6042468761 8.4828744843
3.6500000000 -9.5667128823 2.0841473831 -7.4825654992 11.0667128823 -2.6160806494 8.4506322329
3.6000000000 -9.5460228991 2.0767289922 -7.4692939068 11.0460228991 -2.6282409080 8.4177819910
3.5500000000 -9.5250435361 2.0689293960 -7.4561141401 11.0250435361 -2.6406456937 8.3843978424
3.5000000000 -9.5037665836 2.0607288023 -7.4430377813 11.0037665836 -2.6532972113 8.3504693723
3.4500000000 -9.4821834774 2.0521061512 -7.4300773263 10.9821834774 -2.6662649851 8.3159184924
3.4000000000 -9.4602852783 2.0430390155 -7.4172462628 10.9602852783 -2.6794715459 8.2808137324
3.3500000000 -9.4380626496 2.0335034925 -7.4045591571 10.9380626496 -2.6927971614 8.2452654882
3.3000000000 -9.4155058336 2.0234740849 -7.3920317487 10.9155058336 -2.7066970959 8.2088087377
3.2500000000 -9.3926046254 2.0129235702 -7.3796810552 10.8926046254 -2.7207525814 8.1718520440
3.2000000000 -9.3693483456 2.0018228582 -7.3675254873 10.8693483456 -2.7349552631 8.1343930825
3.1500000000 -9.3457258101 1.9901408336 -7.3555849765 10.8457258101 -2.7496176536 8.0961081565
3.1000000000 -9.3217252981 1.9778441824 -7.3438811157 10.8217252981 -2.7642776293 8.0574476688
3.0500000000 -9.2973345168 1.9648972016 -7.3324373152 10.7973345168 -2.7799072454 8.0174272714
3.0000000000 -9.2725405639 1.9512615882 -7.3212789757 10.7725405639 -2.7954108938 7.9771296700
2.9500000000 -9.2473298864 1.9368962061 -7.3104336803 10.7473298864 -2.8112503322 7.9360795542
2.9000000000 -9.2216882364 1.9217568282 -7.2999314082 10.7216882364 -2.8276205807 7.8940676557
2.8500000000 -9.1956006223 1.9057958497 -7.2898047726 10.6956006223 -2.8447065860 7.8508940363
2.8000000000 -9.1690512566 1.8889619702 -7.2800892864 10.6690512566 -2.8617026267 7.8073486299
2.7500000000 -9.1420234984 1.8711998392 -7.2708236592 10.6420234984 -2.8790730454 7.7629504530
2.7000000000 -9.1144997904 1.8524496609 -7.2620501295 10.6144997904 -2.8972294287 7.7172703617
2.6500000000 -9.0864615909 1.8326467527 -7.2538148381 10.5864615909 -2.9156853238 7.6707762671
2.6000000000 -9.0578892984 1.8117210508 -7.2461682476 10.5578892984 -2.9350046512 7.6228846472
2.5500000000 -9.0287621696 1.7895965553 -7.2391656144 10.5287621696 -2.9542576970 7.5745044726
2.5000000000 -8.9990582287 1.7661907065 -7.2328675222 10.4990582287 -2.9742285933 7.5248296354
2.4500000000 -8.9687541677 1.7414136824 -7.2273404853 10.4687541677 -2.9948842444 7.4738699233
2.4000000000 -8.9378252369 1.7151676048 -7.2226576321 10.4378252369 -3.0162054428 7.4216197941
2.3500000000 -8.9062451231 1.6873456405 -7.2188994826 10.4062451231 -3.0379305189 7.3683146042
2.3000000000 -8.8739858153 1.6578309821 -7.2161548331 10.3739858153 -3.0602767932 7.3137090221
2.2500000000 -8.8410174552 1.6264956875 -7.2145217677 10.3410174552 -3.0833951611 7.2576222941
2.2000000000 -8.8073081714 1.5931993560 -7.2141088154 10.3073081714 -3.1070956732 7.2002124982
2.1500000000 -8.7728238941 1.5577876144 -7.2150362797 10.2728238941 -3.1315142625 7.1413096316
2.1000000000 -8.7375281480 1.5200903788 -7.2174377691 10.2375281480 -3.1569401595 7.0805879885
2.0500000000 -8.7013818206 1.4799198554 -7.2214619652 10.2013818206 -3.1829688105 7.0184130101
2.0000000000 -8.6643429017 1.4370682304 -7.2272746713 10.1643429017 -3.2099050731 6.9544378286
1.9500000000 -8.6263661897 1.3913049954 -7.2350611944 10.1263661897 -3.2382820430 6.8880841467
1.9000000000 -8.5874029601 1.3423738367 -7.2450291235 10.0874029601 -3.2675001498 6.8199028103
1.8500000000 -8.5474005895 1.2899890058 -7.2574115837 10.0474005895 -3.2974454878 6.7499551017
1.8000000000 -8.5063021282 1.2338310671 -7.2724710611 10.0063021282 -3.3282465765 6.6780555517
1.7500000000 -8.4640458128 1.1735418967 -7.2905039161 9.9640458128 -3.3610935670 6.6029522457
1.7000000000 -8.4205645075 1.1087187726 -7.3118457349 9.9205645075 -3.3945591597 6.5260053478
1.6500000000 -8.3757850627 1.0389073625 -7.3368777002 9.8757850627 -3.4297639110 6.4460211517
