# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
5.6000000000 -9.9856284762 3.7236766347 -6.2619518415 11.4856284762 -3.1778144065 8.3078140696
5.5500000000 -9.9721754712 3.7284670935 -6.2437083777 11.4721754712 -3.1881140991 8.2840613721
5.5000000000 -9.9586007179 3.7332505301 -6.2253501878 11.4586007179 -3.1988076389 8.2597930790
5.4500000000 -9.9449019926 3.7380255401 -6.2068764524 11.4449019926 -3.2094970290 8.2354049635
5.4000000000 -9.9310770099 3.7427906402 -6.1882863697 11.4310770099 -3.2202575545 8.2108194554
5.3500000000 -9.9171234209 3.7475442635 -6.1695791575 11.4171234209 -3.2314220938 8.1857013272
5.3000000000 -9.9030388104 3.7522847545 -6.1507540559 11.4030388104 -3.2424812979 8.1605575125
5.2500000000 -9.8888206945 3.7570103646 -6.1318103298 11.3888206945 -3.2537639598 8.1350567347
5.2000000000 -9.8744665179 3.7617192459 -6.1127472720 11.3744665179 -3.2655100345 8.1089564834
5.1500000000 -9.8599736516 3.7664094457 -6.0935642058 11.3599736516 -3.2767309931 8.0832426585
5.1000000000 -9.8453393891 3.7710789002 -6.0742604890 11.3453393891 -3.2887314187 8.0566079705
5.0500000000 -9.8305609445 3.7757254277 -6.0548355168 11.3305609445 -3.3003076699 8.0302532746
5.0000000000 -9.8156354482 3.7803467216 -6.0352887266 11.3156354482 -3.3122428057 8.0033926425
4.9500000000 -9.8005599444 3.7849403430 -6.0156196014 11.3005599444 -3.3250933751 7.9754665694
4.9000000000 -9.7853313872 3.7895037121 -5.9958276752 11.2853313872 -3.3370874004 7.9482439869
4.8500000000 -9.7699466370 3.7940340998 -5.9759125372 11.2699466370 -3.3499589639 7.9199876731
4.8000000000 -9.7544024564 3.7985286185 -5.9558738379 11.2544024564 -3.3626819527 7.8917205037
4.7500000000 -9.7386955066 3.8029842119 -5.9357112947 11.2386955066 -3.3757546750 7.8629408316
4.7000000000 -9.7228223426 3.8073976445 -5.9154246981 11.2228223426 -3.3892118626 7.8336104800
4.6500000000 -9.7067794090 3.8117654899 -5.8950139190 11.2067794090 -3.4021596096 7.8046197994
4.6000000000 -9.6905630348 3.8160841189 -5.8744789159 11.1905630348 -3.4161960482 7.7743669865
4.5500000000 -9.6741694290 3.8203496861 -5.8538197429 11.1741694290 -3.4296701927 7.7444992363
4.5000000000 -9.6575946747 3.8245581158 -5.8330365589 11.1575946747 -3.4441356626 7.7134590121
4.4500000000 -9.6408347238 3.8287050866 -5.8121296373 11.1408347238 -3.4581558442 7.6826788797
4.4000000000 -9.6238853909 3.8327860153 -5.7910993756 11.1238853909 -3.4725791983 7.6513061927
4.3500000000 -9.6067423472 3.8367960393 -5.7699463079 11.1067423472 -3.4876181852 7.6191241620
4.3000000000 -9.5894011136 3.8407299974 -5.7486711162 11.0894011136 -3.5025465147 7.5868545990
4.2500000000 -9.5718570540 3.8445824095 -5.7272746445 11.0718570540 -3.5176681234 7.5541889306
4.2000000000 -9.5541053675 3.8483474544 -5.7057579131 11.0541053675 -3.5329600441 7.5211453234
4.1500000000 -9.5361410809 3.8520189460 -5.6841221349 11.0361410809 -3.5489937624 7.4871473185
4.1000000000 -9.5179590401 3.8555903078 -5.6623687324 11.0179590401 -3.5649853937 7.4529736464
4.0500000000 -9.4995539012 3.8590545446 -5.6404993566 10.9995539012 -3.5809241666 7.4186297347
4.0000000000 -9.4809201212 3.8624042129 -5.6185159084 10.9809201212 -3.5980054178 7.3829147035
3.9500000000 -9.4620519479 3.8656313876 -5.5964205604 10.9620519479 -3.6146638587 7.3473880892
3.9000000000 -9.4429434093 3.8687276271 -5.5742157821 10.9429434093 -3.6315919164 7.3113514928
3.8500000000 -9.4235883020 3.8716839348 -5.5519043672 10.9235883020 -3.6494631984 7.2741251036
3.8000000000 -9.4039801797 3.8744907171 -5.5294894625 10.9039801797 -3.6668820125 7.2370981671
3.7500000000 -9.3841123395 3.8771377382 -5.5069746014 10.8841123395 -3.6857764722 7.1983358673
3.7000000000 -9.3639778090 3.8796140705 -5.4843637385 10.8639778090 -3.7038767230 7.1601010860
3.6500000000 -9.3435693309 3.8819080412 -5.4616612898 10.8435693309 -3.7231191095 7.1204502215
3.6000000000 -9.3228793477 3.8840071730 -5.4388721747 10.8228793477 -3.7418553941 7.0810239536
3.5500000000 -9.3018999848 3.8858981205 -5.4160018643 10.8018999848 -3.7618147726 7.0400852122
3.5000000000 -9.2806230323 3.8875665996 -5.3930564327 10.7806230323 -3.7816770748 6.9989459575
3.4500000000 -9.2590399261 3.8889973115 -5.3700426146 10.7590399261 -3.8024817364 6.9565581897
