# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
7.0000000000 -10.5434873545 2.0958657673 -8.4476215871 12.0434873545 -2.0391156677 10.0043716867
6.9500000000 -10.5327346202 2.0962312416 -8.4365033786 12.0327346202 -2.0439445121 9.9887901082
6.9000000000 -10.5219042483 2.0965683277 -8.4253359206 12.0219042483 -2.0487931276 9.9731111207
6.8500000000 -10.5109951093 2.0968760591 -8.4141190502 12.0109951093 -2.0535069760 9.9574881332
6.8000000000 -10.5000060491 2.0971534351 -8.4028526140 12.0000060491 -2.0585128951 9.9414931540
6.7500000000 -10.4889358882 2.0973994187 -8.3915364694 11.9889358882 -2.0634971568 9.9254387314
6.7000000000 -10.4777834205 2.0976129358 -8.3801704847 11.9777834205 -2.0683240927 9.9094593278
6.6500000000 -10.4665474129 2.0977928730 -8.3687545399 11.9665474129 -2.0735037588 9.8930436540
6.6000000000 -10.4552266044 2.0979380762 -8.3572885282 11.9552266044 -2.0784974789 9.8767291255
6.5500000000 -10.4438197053 2.0980473492 -8.3457723561 11.9438197053 -2.0835793741 9.8602403312
6.5000000000 -10.4323253962 2.0981194513 -8.3342059449 11.9323253962 -2.0887146102 9.8436107860
6.4500000000 -10.4207423271 2.0981530958 -8.3225892312 11.9207423271 -2.0940624471 9.8266798800
6.4000000000 -10.4090691164 2.0981469478 -8.3109221686 11.9090691164 -2.0992782537 9.8097908627
6.3500000000 -10.3973043502 2.0980996222 -8.2992047281 11.8973043502 -2.1048777621 9.7924265881
6.3000000000 -10.3854465810 2.0980096812 -8.2874368997 11.8854465810 -2.1102226946 9.7752238863
6.2500000000 -10.3734943265 2.0978756327 -8.2756186938 11.8734943265 -2.1157871653 9.7577071612
6.2000000000 -10.3614460689 2.0976959268 -8.2637501421 11.8614460689 -2.1211490146 9.7402970544
6.1500000000 -10.3493002536 2.0974689542 -8.2518312994 11.8493002536 -2.1267864140 9.7225138396
6.1000000000 -10.3370552876 2.0971930428 -8.2398622449 11.8370552876 -2.1324261468 9.7046291408
6.0500000000 -10.3247095389 2.0968664552 -8.2278430838 11.8247095389 -2.1382387786 9.6864707604
6.0000000000 -10.3122613347 2.0964873855 -8.2157739492 11.8122613347 -2.1440592917 9.6682020430
5.9500000000 -10.2997089602 2.0960539565 -8.2036550037 11.7997089602 -2.1499732364 9.6497357238
5.9000000000 -10.2870506572 2.0955642157 -8.1914864415 11.7870506572 -2.1558531234 9.6311975338
5.8500000000 -10.2742846227 2.0950161323 -8.1792684904 11.7742846227 -2.1617426851 9.6125419377
5.8000000000 -10.2614090072 2.0944075933 -8.1670014139 11.7614090072 -2.1680114407 9.5933975665
5.7500000000 -10.2484219131 2.0937363997 -8.1546855134 11.7484219131 -2.1739484196 9.5744734935
5.7000000000 -10.2353213931 2.0930002618 -8.1423211313 11.7353213931 -2.1803175813 9.5550038119
5.6500000000 -10.2221054486 2.0921967958 -8.1299086528 11.7221054486 -2.1865719697 9.5355334789
5.6000000000 -10.2087720275 2.0913235182 -8.1174485093 11.7087720275 -2.1930482280 9.5157237995
5.5500000000 -10.1953190225 2.0903778414 -8.1049411811 11.6953190225 -2.1993708849 9.4959481376
5.5000000000 -10.1817442692 2.0893570683 -8.0923872010 11.6817442692 -2.2060711680 9.4756731012
