# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
7.0000000000 -11.4189560918 1.1213468504 -10.2976092414 12.9189560918 -1.2009638650 11.7179922269
6.9500000000 -11.4082033576 1.1207136447 -10.2874897129 12.9082033576 -1.2030994489 11.7051039087
6.9000000000 -11.3973729856 1.1200545436 -10.2773184421 12.8973729856 -1.2061918492 11.6911811364
6.8500000000 -11.3864638466 1.1193688089 -10.2670950378 12.8864638466 -1.2089023527 11.6775614939
6.8000000000 -11.3754747865 1.1186556777 -10.2568191088 12.8754747865 -1.2111183755 11.6643564109
6.7500000000 -11.3644046255 1.1179143615 -10.2464902640 12.8644046255 -1.2138899939 11.6505146317
6.7000000000 -11.3532521578 1.1171440449 -10.2361081129 12.8532521578 -1.2156382334 11.6376139244
6.6500000000 -11.3420161502 1.1163438846 -10.2256722656 12.8420161502 -1.2194714262 11.6225447240
6.6000000000 -11.3306953418 1.1155130084 -10.2151823333 12.8306953418 -1.2212638211 11.6094315206
6.5500000000 -11.3192884427 1.1146505140 -10.2046379287 12.8192884427 -1.2249480657 11.5943403770
6.5000000000 -11.3077941336 1.1137554673 -10.1940386663 12.8077941336 -1.2269319794 11.5808621542
6.4500000000 -11.2962110644 1.1128269018 -10.1833841626 12.7962110644 -1.2297406996 11.5664703648
6.4000000000 -11.2845378538 1.1118638168 -10.1726740370 12.7845378538 -1.2326819122 11.5518559416
6.3500000000 -11.2727730876 1.1108651758 -10.1619079117 12.7727730876 -1.2361020766 11.5366710110
6.3000000000 -11.2609153183 1.1098299055 -10.1510854128 12.7609153183 -1.2385320135 11.5223833048
6.2500000000 -11.2489630638 1.1087568935 -10.1402061703 12.7489630638 -1.2416464268 11.5073166371
6.2000000000 -11.2369148063 1.1076449873 -10.1292698190 12.7369148063 -1.2443450670 11.4925697393
6.1500000000 -11.2247689909 1.1064929922 -10.1182759987 12.7247689909 -1.2471419489 11.4776270421
6.1000000000 -11.2125240250 1.1052996694 -10.1072243556 12.7125240250 -1.2502924925 11.4622315325
6.0500000000 -11.2001782763 1.1040637340 -10.0961145422 12.7001782763 -1.2532063962 11.4469718801
6.0000000000 -11.1877300721 1.1027838535 -10.0849462186 12.6877300721 -1.2562005585 11.4315295136
5.9500000000 -11.1751776976 1.1014586446 -10.0737190529 12.6751776976 -1.2593792238 11.4157984737
5.9000000000 -11.1625193946 1.1000866721 -10.0624327225 12.6625193946 -1.2623039868 11.4002154078
5.8500000000 -11.1497533601 1.0986664454 -10.0510869147 12.6497533601 -1.2653522140 11.3844011461
5.8000000000 -11.1368777445 1.0971964168 -10.0396813277 12.6368777445 -1.2687287940 11.3681489505
5.7500000000 -11.1238906504 1.0956749784 -10.0282156720 12.6238906504 -1.2721970516 11.3516935989
5.7000000000 -11.1107901305 1.0941004594 -10.0166896711 12.6107901305 -1.2750166172 11.3357735133
5.6500000000 -11.0975741860 1.0924711230 -10.0051030629 12.5975741860 -1.2790784878 11.3184956982
5.6000000000 -11.0842407648 1.0907851634 -9.9934556014 12.5842407648 -1.2817471510 11.3024936138
5.5500000000 -11.0707877599 1.0890407025 -9.9817470574 12.5707877599 -1.2854499167 11.2853378431
5.5000000000 -11.0572130066 1.0872357861 -9.9699772205 12.5572130066 -1.2885810624 11.2686319442
5.4500000000 -11.0435142812 1.0853683805 -9.9581459007 12.5435142812 -1.2920697907 11.2514444905
5.4000000000 -11.0296892986 1.0834363685 -9.9462529301 12.5296892986 -1.2958607848 11.2338285138
5.3500000000 -11.0157357096 1.0814375451 -9.9342981645 12.5157357096 -1.2992619230 11.2164737866
5.3000000000 -11.0016510991 1.0793696132 -9.9222814859 12.5016510991 -1.3025695815 11.1990815176
5.2500000000 -10.9874329831 1.0772301788 -9.9102028043 12.4874329831 -1.3060796178 11.1813533653
5.2000000000 -10.9730788066 1.0750167462 -9.8980620604 12.4730788066 -1.3101181558 11.1629606508
5.1500000000 -10.9585859402 1.0727267128 -9.8858592274 12.4585859402 -1.3132002674 11.1453856729
5.1000000000 -10.9439516778 1.0703573631 -9.8735943147 12.4439516778 -1.3179131023 11.1260385755
5.0500000000 -10.9291732332 1.0679058633 -9.8612673698 12.4291732332 -1.3211822751 11.1079909580
5.0000000000 -10.9142477369 1.0653692546 -9.8488784823 12.4142477369 -1.3253233148 11.0889244221
4.9500000000 -10.8991722331 1.0627444467 -9.8364277864 12.3991722331 -1.3284691293 11.0707031038
4.9000000000 -10.8839436759 1.0600282106 -9.8239154653 12.3839436759 -1.3329744494 11.0509692265
4.8500000000 -10.8685589256 1.0572171711 -9.8113417546 12.3685589256 -1.3373081058 11.0312508199
4.8000000000 -10.8530147451 1.0543077985 -9.7987069466 12.3530147451 -1.3410466377 11.0119681074
4.7500000000 -10.8373077953 1.0512964003 -9.7860113950 12.3373077953 -1.3453188936 10.9919889016
4.7000000000 -10.8214346313 1.0481791118 -9.7732555195 12.3214346313 -1.3495487353 10.9718858960
4.6500000000 -10.8053916976 1.0449518861 -9.7604398115 12.3053916976 -1.3535481994 10.9518434982
4.6000000000 -10.7891753235 1.0416104843 -9.7475648391 12.2891753235 -1.3583074221 10.9308679013
4.5500000000 -10.7727817177 1.0381504635 -9.7346312541 12.2727817177 -1.3623448276 10.9104368901
4.5000000000 -10.7562069634 1.0345671654 -9.7216397980 12.2562069634 -1.3668270909 10.8893798725
4.4500000000 -10.7394470125 1.0308557032 -9.7085913093 12.2394470125 -1.3713402772 10.8681067353
4.4000000000 -10.7224976796 1.0270109480 -9.6954867316 12.2224976796 -1.3761127433 10.8463849363
4.3500000000 -10.7053546359 1.0230275141 -9.6823271218 12.2053546359 -1.3809498545 10.8244047814
4.3000000000 -10.6880134023 1.0188997432 -9.6691136591 12.1880134023 -1.3851332737 10.8028801286
4.2500000000 -10.6704693426 1.0146216875 -9.6558476551 12.1704693426 -1.3903377157 10.7801316269
