potential,N_A,N_B,m_A,m_B,T,rho,S_EX,eta,D_A,D_B,R,gamma
AS,750.0,250.0,2.0,1.0,0.7,1.1,-3.1950380000000003,4.663176030041114,0.02134455381479735,0.08117456058933042,0.7759999999999999,4.628
AS,750.0,250.0,2.0,1.0,0.8,1.1,-3.048309,4.3307597286236605,0.02568004392018956,0.10423470222001707,0.818,4.824
AS,750.0,250.0,2.0,1.0,0.9,1.1,-2.928212,4.119028962700306,0.031015343553536082,0.11745518769141645,0.846,4.936
AS,750.0,250.0,2.0,1.0,1.0,1.1,-2.826273,3.9137944842132213,0.03590972897352174,0.13013731997573932,0.867,5.01
AS,750.0,250.0,2.0,1.0,1.4,1.1,-2.534983,3.559417779037417,0.05549495787233523,0.2002667982297741,0.914,5.122999999999998
AS,750.0,250.0,2.0,1.0,2.0,1.1,-2.267626,3.3567419404943943,0.08352213148419885,0.2945664923478806,0.945,5.127000000000002
GLJ,668.0,334.0,1.0,1.0,0.8,1.35,-6.14698,15738.04251206111,2.4417104378755324e-05,6.815962460487487e-05,0.9571226946451372,6.4607827805486835
GLJ,668.0,334.0,1.0,1.0,0.85,1.35,-6.02535,4191.203806212207,7.500305715527399e-05,0.0001846408586734876,0.9592298965559568,6.416257820862991
GLJ,668.0,334.0,1.0,1.0,0.9,1.35,-5.912783,1386.861232948801,0.0001874172909832281,0.0003758154675434302,0.9604437426701689,6.388476583164557
GLJ,668.0,334.0,1.0,1.0,1.0,1.35,-5.712692,360.1288482449601,0.0005950266245193232,0.0010646140507084097,0.9638442114435354,6.342726423147767
GLJ,668.0,334.0,1.0,1.0,1.2,1.35,-5.385086,97.50508935756257,0.0022161492379315197,0.00349551559740874,0.9687448836410304,6.260307749442324
GLJ,668.0,334.0,1.0,1.0,1.4,1.35,-5.12362,51.91518119828853,0.004536210301765994,0.0067934261092849465,0.9724095388373576,6.1895053136423686
GLJ,668.0,334.0,1.0,1.0,1.6,1.35,-4.909079,35.731747518709774,0.007323213729780762,0.011118130861357291,0.9752548545419344,6.129313694097271
GLJ,668.0,334.0,1.0,1.0,1.8,1.35,-4.728139,27.5935242557544,0.010454217920964988,0.01581711935899228,0.9775076263021332,6.076291073046358
GLJ,668.0,334.0,1.0,1.0,2.0,1.35,-4.572708,22.985875649442743,0.014475847053713659,0.019925073127255995,0.9793092191555908,6.029650787040214
GLJ,800.0,200.0,1.0,1.0,0.75,1.2,-6.186681,41754.41172305693,1.2292031528477805e-05,5.937702709856699e-05,0.9561271566301904,6.236455852378348
GLJ,800.0,200.0,1.0,1.0,0.8,1.2,-6.057632,5480.476925163714,4.748739588810254e-05,0.00019062814942008173,0.9545551016427524,6.247824712268362
GLJ,800.0,200.0,1.0,1.0,0.85,1.2,-5.935996,1852.229858507064,0.00013485790885298658,0.0004478604469857447,0.9601334962652088,6.228769760048952
GLJ,800.0,200.0,1.0,1.0,0.9,1.2,-5.825513,816.9641593786786,0.00029225230422923486,0.0008185792971293648,0.9621572323512418,6.2194517322764025
GLJ,800.0,200.0,1.0,1.0,0.95,1.2,-5.724709,446.44422621042327,0.000529182890613761,0.0013673629619213525,0.9638370883578268,6.197152053239707
GLJ,800.0,200.0,1.0,1.0,1.0,1.2,-5.635427,247.62252916368544,0.0008524182069438897,0.0019608542891436935,0.965639668728067,6.189894906384432
GLJ,800.0,200.0,1.0,1.0,1.2,1.2,-5.31242,77.63746684944431,0.0028254367441501,0.0062300626747056435,0.9705313891813292,6.1354613935045945
GLJ,800.0,200.0,1.0,1.0,1.4,1.2,-5.056966,42.05214492070195,0.0055345047928992,0.010438166381382345,0.9741928532076116,6.088064800430013
GLJ,800.0,200.0,1.0,1.0,2.0,1.2,-4.512451,18.930445148767475,0.0167362133400626,0.02900816607658809,0.9810627211127072,5.963645548333001
GLJ,800.0,200.0,1.0,1.0,3.0,1.2,-3.967885,11.845273607272684,0.03846635660846573,0.06415117339957581,0.9864597156639712,5.8117116870095655
GLJ,800.0,200.0,1.0,1.0,4.0,1.2,-3.626671,9.682823203624556,0.06272163459700338,0.09944781984432936,0.9892459565937608,5.702874534587027
GLJ,800.0,200.0,1.0,1.0,5.0,1.2,-3.3860339999999995,8.58019516830428,0.08666020533192137,0.13978309600877714,0.9909630966966724,5.6211317075343965
KA,5000.0,5000.0,1.0,1.0,0.75,1.45,-4.6757589999999984,17.83653559427282,0.006783883391549821,0.008720572074531144,0.952,5.438
KA,5000.0,5000.0,1.0,1.0,0.8,1.45,-4.5739480000000015,15.63791701100475,0.008172686478219152,0.010450241407391576,0.955,5.42
KA,5000.0,5000.0,1.0,1.0,0.9,1.45,-4.393576,12.636427752444721,0.01134097141149751,0.01437250168024284,0.959,5.362
KA,5000.0,5000.0,1.0,1.0,1.0,1.45,-4.238783,11.11311405110014,0.014540857605754132,0.018277438750775216,0.962,5.336
KA,5000.0,5000.0,1.0,1.0,1.2,1.45,-3.984254,8.707728764101367,0.021477968193867863,0.02691856167843384,0.967,5.244
KA,5000.0,5000.0,1.0,1.0,1.4,1.45,-3.782164,7.561821979913857,0.028593844791757025,0.03636722939400724,0.971,5.2
KA,5000.0,5000.0,1.0,1.0,1.6,1.45,-3.616304,6.845111023658463,0.036529999407762484,0.045493294026811834,0.974,5.154
